pr1,pr2,pr3,pr4,pr5,label,intId
536,834,624,694,384,fist,1
536,834,624,694,383,fist,1
536,834,624,693,383,fist,1
536,834,624,694,383,fist,1
536,834,624,693,382,fist,1
536,834,624,694,384,fist,1
536,834,624,694,383,fist,1
536,834,624,693,383,fist,1
536,834,624,694,383,fist,1
536,834,624,693,382,fist,1
529,828,621,688,368,fist,1
529,828,621,687,368,fist,1
529,827,620,687,368,fist,1
529,827,621,687,368,fist,1
529,828,620,687,367,fist,1
529,828,620,687,367,fist,1
528,827,621,687,367,fist,1
528,828,620,687,366,fist,1
528,828,621,687,367,fist,1
528,828,620,687,367,fist,1
528,828,620,687,368,fist,1
528,828,621,687,372,fist,1
528,828,621,688,379,fist,1
531,828,621,688,389,fist,1
533,829,621,689,396,fist,1
537,828,622,688,400,fist,1
544,829,622,689,401,fist,1
552,830,623,689,400,fist,1
561,830,623,690,404,fist,1
572,831,623,690,415,fist,1
583,831,624,690,431,fist,1
591,831,623,690,449,fist,1
593,831,624,691,464,fist,1
593,833,625,695,470,fist,1
600,836,627,697,480,fist,1
613,838,630,697,511,fist,1
624,839,632,698,534,fist,1
633,839,633,698,557,fist,1
639,839,633,698,570,fist,1
642,840,634,698,581,fist,1
645,840,635,698,589,fist,1
647,840,635,698,596,fist,1
648,839,635,697,600,fist,1
635,838,633,697,580,fist,1
631,838,632,697,571,fist,1
637,838,633,698,572,fist,1
649,840,635,698,601,fist,1
651,840,635,698,609,fist,1
654,839,636,698,612,fist,1
654,840,635,698,612,fist,1
654,840,636,698,613,fist,1
656,840,636,698,614,fist,1
655,840,636,698,615,fist,1
656,840,637,698,616,fist,1
655,840,636,699,615,fist,1
655,840,637,699,615,fist,1
656,841,637,700,616,fist,1
656,841,637,699,616,fist,1
654,841,637,699,616,fist,1
652,841,637,700,612,fist,1
652,842,636,699,611,fist,1
652,841,637,699,611,fist,1
654,841,636,699,612,fist,1
656,841,637,699,615,fist,1
657,841,637,699,618,fist,1
657,841,637,699,618,fist,1
657,842,637,699,619,fist,1
658,841,637,699,620,fist,1
658,841,637,699,620,fist,1
658,841,637,699,620,fist,1
658,841,637,699,620,fist,1
658,840,637,699,620,fist,1
658,841,637,699,621,fist,1
658,841,637,699,620,fist,1
659,841,638,699,620,fist,1
660,843,638,700,622,fist,1
660,845,639,702,624,fist,1
662,849,641,708,627,fist,1
665,855,645,712,631,fist,1
668,860,648,715,634,fist,1
669,863,650,720,636,fist,1
670,865,651,724,635,fist,1
670,865,652,726,636,fist,1
670,866,651,728,636,fist,1
671,865,652,729,637,fist,1
671,866,652,730,637,fist,1
671,866,652,730,637,fist,1
672,866,652,730,637,fist,1
672,866,652,730,638,fist,1
672,866,652,731,638,fist,1
672,866,653,730,639,fist,1
672,867,653,730,639,fist,1
672,866,653,730,639,fist,1
672,866,653,730,640,fist,1
672,866,653,729,640,fist,1
672,866,653,729,640,fist,1
671,866,653,729,640,fist,1
672,866,652,729,640,fist,1
672,867,653,729,640,fist,1
674,866,654,729,640,fist,1
673,868,653,729,640,fist,1
674,866,654,729,641,fist,1
674,867,653,729,641,fist,1
674,866,654,728,642,fist,1
674,867,653,728,641,fist,1
674,867,653,728,641,fist,1
674,867,653,727,641,fist,1
674,867,653,728,641,fist,1
674,867,653,728,641,fist,1
674,867,653,728,641,fist,1
674,867,653,727,641,fist,1
674,867,654,727,641,fist,1
674,867,653,727,641,fist,1
674,867,653,728,640,fist,1
673,867,653,728,640,fist,1
673,867,654,728,640,fist,1
673,868,653,728,640,fist,1
673,867,653,727,640,fist,1
672,867,653,728,640,fist,1
672,866,653,727,640,fist,1
672,868,652,728,639,fist,1
671,868,653,727,638,fist,1
671,868,653,728,638,fist,1
670,868,654,727,638,fist,1
670,868,654,728,637,fist,1
669,868,653,728,636,fist,1
668,868,654,728,636,fist,1
668,867,653,728,635,fist,1
666,868,653,727,634,fist,1
665,868,653,727,632,fist,1
665,867,653,727,632,fist,1
664,868,653,727,631,fist,1
663,868,652,727,629,fist,1
662,868,653,727,628,fist,1
661,868,653,727,627,fist,1
660,868,653,728,626,fist,1
660,868,653,728,626,fist,1
660,868,653,727,625,fist,1
660,868,653,728,625,fist,1
659,868,653,728,625,fist,1
659,868,653,728,625,fist,1
659,868,652,728,626,fist,1
660,868,653,727,626,fist,1
660,868,652,728,627,fist,1
662,867,653,727,629,fist,1
662,868,652,728,629,fist,1
664,868,653,727,631,fist,1
665,868,653,728,632,fist,1
666,869,653,728,633,fist,1
667,868,653,727,636,fist,1
668,868,653,728,636,fist,1
669,869,653,728,637,fist,1
670,868,653,728,637,fist,1
670,868,653,728,638,fist,1
671,868,653,728,639,fist,1
672,868,653,728,639,fist,1
672,868,653,728,639,fist,1
672,869,653,728,640,fist,1
673,868,653,728,640,fist,1
673,869,653,728,640,fist,1
673,868,653,728,640,fist,1
673,869,653,728,640,fist,1
673,868,653,728,640,fist,1
673,869,654,728,640,fist,1
673,868,653,728,640,fist,1
674,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,867,653,727,641,fist,1
673,869,653,728,640,fist,1
673,868,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,654,728,640,fist,1
673,869,653,728,640,fist,1
674,869,654,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,729,640,fist,1
674,869,653,728,640,fist,1
673,869,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,728,640,fist,1
674,869,653,728,640,fist,1
673,869,653,728,640,fist,1
674,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,728,639,fist,1
674,868,653,728,640,fist,1
673,869,653,728,640,fist,1
674,868,653,728,640,fist,1
673,869,653,728,639,fist,1
673,869,653,728,640,fist,1
674,869,654,728,640,fist,1
673,870,653,729,639,fist,1
674,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,728,640,fist,1
673,869,653,727,640,fist,1
673,869,653,728,640,fist,1
674,869,653,728,639,fist,1
673,869,653,728,640,fist,1
673,869,653,728,639,fist,1
674,869,653,728,640,fist,1
673,869,653,727,640,fist,1
673,869,652,725,640,fist,1
674,869,652,723,640,fist,1
674,869,652,720,641,fist,1
673,869,651,719,640,fist,1
672,869,650,718,640,fist,1
672,868,649,716,639,fist,1
670,868,648,715,638,fist,1
670,865,647,713,638,fist,1
669,862,645,713,637,fist,1
668,857,646,711,636,fist,1
667,852,645,710,634,fist,1
665,847,644,709,633,fist,1
665,844,642,707,632,fist,1
664,843,641,706,631,fist,1
664,840,641,705,630,fist,1
663,840,639,704,629,fist,1
663,838,639,703,628,fist,1
662,838,638,702,627,fist,1
661,836,637,702,626,fist,1
661,836,636,702,625,fist,1
660,835,636,702,623,fist,1
659,834,636,702,622,fist,1
659,835,635,702,621,fist,1
658,835,635,702,620,fist,1
658,835,635,703,619,fist,1
657,835,635,703,618,fist,1
656,835,636,703,617,fist,1
656,836,635,703,617,extend,2
656,835,635,703,616,extend,2
656,835,635,704,617,extend,2
656,834,635,703,616,extend,2
656,835,634,704,616,extend,2
656,834,635,703,616,extend,2
656,835,635,704,615,extend,2
656,835,636,703,616,extend,2
656,835,636,703,616,extend,2
656,835,635,703,616,extend,2
656,835,635,703,616,extend,2
656,835,635,704,616,extend,2
656,835,635,703,617,extend,2
656,835,635,704,616,extend,2
656,835,635,703,616,extend,2
656,834,635,703,615,extend,2
656,835,635,703,616,extend,2
656,835,635,703,615,extend,2
656,835,634,703,615,extend,2
656,835,635,703,615,extend,2
656,835,635,704,615,extend,2
656,835,635,704,615,extend,2
656,835,635,703,615,extend,2
656,834,634,703,615,extend,2
656,835,635,703,615,extend,2
655,835,634,703,616,extend,2
656,834,635,703,615,extend,2
655,834,634,704,615,extend,2
656,834,635,703,615,extend,2
656,835,634,703,615,extend,2
656,834,635,704,615,extend,2
656,835,635,703,614,extend,2
656,834,635,704,615,extend,2
657,835,635,704,615,extend,2
656,835,635,704,615,extend,2
656,835,635,703,616,extend,2
656,835,635,704,616,extend,2
656,834,635,703,616,extend,2
656,835,635,704,616,extend,2
656,835,635,703,616,extend,2
656,835,635,703,616,extend,2
656,835,635,704,615,extend,2
656,835,634,704,614,extend,2
652,835,634,704,609,extend,2
651,835,634,704,607,extend,2
653,835,634,704,612,extend,2
654,835,635,704,611,extend,2
652,835,634,704,609,extend,2
651,834,634,703,609,extend,2
652,835,634,704,609,extend,2
651,835,634,703,609,extend,2
653,834,635,703,611,extend,2
654,835,634,703,611,extend,2
654,835,634,703,611,extend,2
654,835,634,704,609,extend,2
652,835,634,704,607,extend,2
652,835,634,704,606,extend,2
650,836,634,704,604,extend,2
649,835,633,704,604,extend,2
649,835,633,704,603,extend,2
648,835,634,704,603,extend,2
648,835,633,704,602,extend,2
647,835,634,703,601,extend,2
646,835,633,703,599,extend,2
645,835,633,704,597,extend,2
645,835,633,703,596,extend,2
643,835,633,704,594,extend,2
642,834,633,704,594,extend,2
642,835,633,704,593,extend,2
641,835,633,703,593,extend,2
641,834,633,703,593,extend,2
641,835,633,704,592,extend,2
641,835,633,704,591,extend,2
641,835,633,704,591,extend,2
641,834,632,703,589,extend,2
640,834,632,704,587,extend,2
640,833,632,703,585,extend,2
640,833,632,703,583,extend,2
640,834,631,703,580,extend,2
640,834,631,704,578,extend,2
639,834,631,704,575,extend,2
639,834,632,704,575,extend,2
638,834,631,704,574,extend,2
638,833,631,703,574,extend,2
638,834,631,703,573,extend,2
638,834,631,703,573,extend,2
638,834,631,703,572,extend,2
638,834,631,703,572,extend,2
638,833,631,703,572,extend,2
638,834,631,703,572,extend,2
638,834,631,703,573,extend,2
638,834,631,704,574,extend,2
638,834,631,703,576,extend,2
639,834,631,703,577,extend,2
639,834,632,703,580,extend,2
639,834,632,704,582,extend,2
639,834,632,704,585,extend,2
639,834,632,703,587,extend,2
638,834,632,703,589,extend,2
640,833,632,703,590,extend,2
639,834,632,703,591,extend,2
640,834,633,702,592,extend,2
641,834,633,704,592,extend,2
640,835,633,703,593,extend,2
640,835,633,704,594,extend,2
641,835,633,704,595,extend,2
640,835,633,703,596,extend,2
640,835,633,704,596,extend,2
640,835,633,703,597,extend,2
639,835,632,704,596,extend,2
638,835,633,703,596,extend,2
636,835,633,703,593,extend,2
